IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.21.239.75,4,4,0.00,168.01,105.81
104.16.6.156,4,4,0.00,168.43,93.99
104.16.4.106,4,4,0.00,167.43,91.26
104.16.15.115,4,4,0.00,166.54,86.69
104.26.15.4,4,4,0.00,164.83,83.79
162.159.34.118,4,4,0.00,168.03,82.42
104.16.5.233,4,4,0.00,164.98,79.89
162.159.43.252,4,4,0.00,168.60,78.12
162.159.42.45,4,4,0.00,166.53,20.16
104.26.10.95,4,4,0.00,165.62,17.60
